timestamp(ms),var,
"1718468353.431","3344",
"1718468353.432","3097",
"1718468353.433","2784",
"1718468353.434","3161",
"1718468353.435","2096",
"1718468353.436","667",
"1718468353.437","886",
"1718468353.438","1063",
"1718468353.439","651",
"1718468353.44","2323",
"1718468353.441","1639",
"1718468353.442","3259",
"1718468353.443","2874",
"1718468353.444","2969",
"1718468353.445","3297",
"1718468353.446","1772",
"1718468353.447","762",
"1718468353.448","1152",
"1718468353.449","822",
"1718468353.45","582",
"1718468353.451","1941",
"1718468353.452","1342",
"1718468353.453","3120",
"1718468353.454","2623",
"1718468353.455","3217",
"1718468353.456","3286",
"1718468353.457","2116",
"1718468353.458","2736",
"1718468353.459","909",
"1718468353.46","1488",
"1718468353.461","637",
"1718468353.462","1679",
"1718468353.464","998",
"1718468353.467","2251",
"1718468353.475","3025",
"1718468353.476","2635",
"1718468353.477","3354",
"1718468353.478","3069",
"1718468353.479","2714",
"1718468353.48","3196",
"1718468353.481","1452",
"1718468353.482","2160",
"1718468353.483","669",
"1718468353.484","910",
"1718468353.485","2295",
"1718468353.486","1621",
"1718468353.488","3227",
"1718468353.489","2903",
"1718468353.492","2962",
"1718468353.494","3328",
"1718468353.495","703",
"1718468353.496","656",
"1718468353.497","1314",
"1718468353.498","3124",
"1718468353.499","2591",
"1718468353.5","3156",
"1718468353.501","3331",
"1718468353.502","2149",
"1718468353.503","2762",
"1718468353.504","1436",
"1718468353.505","701",
"1718468353.506","660",
"1718468353.507","1619",
"1718468353.508","1023",
"1718468353.509","2863",
"1718468353.51","2334",
"1718468353.511","3338",
"1718468353.512","3254",
"1718468353.513","2452",
"1718468353.514","2962",
"1718468353.515","1129",
"1718468353.516","1828",
"1718468353.517","620",
"1718468353.518","1354",
"1718468353.519","799",
"1718468353.52","2639",
"1718468353.521","1943",
"1718468353.522","3280",
"1718468353.523","3091",
"1718468353.524","2756",
"1718468353.525","3215",
"1718468353.526","1472",
"1718468353.527","2098",
"1718468353.528","614",
"1718468353.529","961",
"1718468353.53","1088",
"1718468353.531","2315",
"1718468353.532","1615",
"1718468353.533","3233",
"1718468353.534","2907",
"1718468353.535","3029",
"1718468353.536","3312",
"1718468353.537","1814",
"1718468353.538","2432",
"1718468353.539","723",
"1718468353.54","1168",
"1718468353.541","816",
"1718468353.542","656",
"1718468353.543","1995",
"1718468353.544","1303",
"1718468353.545","3091",
"1718468353.546","2603",
"1718468353.547","3357",
"1718468353.548","2170",
"1718468353.549","2737",
"1718468353.55","928",
"1718468353.551","1425",
"1718468353.552","657",
"1718468353.553","667",
"1718468353.554","1675",
"1718468353.555","1053",
"1718468353.556","2897",
"1718468353.557","2261",
"1718468353.558","3270",
"1718468353.559","3267",
"1718468353.56","2438",
"1718468353.561","3012",
"1718468353.562","1794",
"1718468353.563","606",
"1718468353.564","723",
"1718468353.565","1299",
"1718468353.566","855",
"1718468353.567","2619",
"1718468353.568","1983",
"1718468353.569","3348",
"1718468353.57","3063",
"1718468353.571","2736",
"1718468353.572","3190",
"1718468353.573","1480",
"1718468353.574","2166",
"1718468353.575","907",
"1718468353.576","1044",
"1718468353.577","720",
"1718468353.578","2320",
"1718468353.579","1603",
"1718468353.58","3228",
"1718468353.581","2921",
"1718468353.582","3020",
"1718468353.583","3283",
"1718468353.584","1769",
"1718468353.585","2470",
"1718468353.586","767",
"1718468353.587","1166",
"1718468353.588","607",
"1718468353.589","1991",
"1718468353.59","1311",
"1718468353.591","3098",
"1718468353.592","2607",
"1718468353.593","3154",
"1718468353.594","3381",
"1718468353.595","2130",
"1718468353.596","2784",
"1718468353.597","946",
"1718468353.598","1458",
"1718468353.599","703",
"1718468353.6","628",
"1718468353.601","1611",
"1718468353.602","2835",
"1718468353.603","2335",
"1718468353.604","3302",
"1718468353.605","3265",
"1718468353.606","2466",
"1718468353.607","2962",
"1718468353.608","1170",
"1718468353.609","1776",
"1718468353.61","585",
"1718468353.611","775",
"1718468353.612","1365",
"1718468353.613","846",
"1718468353.614","2579",
"1718468353.615","1987",
"1718468353.616","3338",
"1718468353.617","2764",
"1718468353.618","3151",
"1718468353.619","1440",
"1718468353.62","2158",
"1718468353.621","655",
"1718468353.622","964",
"1718468353.623","1075",
"1718468353.624","661",
"1718468353.625","2271",
"1718468353.626","1634",
"1718468353.627","3241",
"1718468353.628","2923",
"1718468353.629","3008",
"1718468353.63","3309",
"1718468353.631","1834",
"1718468353.632","718",
"1718468353.633","1180",
"1718468353.634","791",
"1718468353.635","646",
"1718468353.636","1958",
"1718468353.637","1342",
"1718468353.638","3120",
"1718468353.639","2599",
"1718468353.64","3206",
"1718468353.641","3292",
"1718468353.642","2118",
"1718468353.643","2750",
"1718468353.644","889",
"1718468353.645","703",
"1718468353.646","643",
"1718468353.647","1674",
"1718468353.648","1022",
"1718468353.649","2875",
"1718468353.65","2282",
"1718468353.651","3254",
"1718468353.652","3294",
"1718468353.653","2478",
"1718468353.654","2982",
"1718468353.655","1180",
"1718468353.656","1755",
"1718468353.657","613",
"1718468353.658","743",
"1718468353.659","841",
"1718468353.66","2603",
"1718468353.661","1975",
"1718468353.662","3344",
"1718468353.663","3065",
"1718468353.664","2704",
"1718468353.665","3194",
"1718468353.666","1454",
"1718468353.667","2164",
"1718468353.668","656",
"1718468353.669","915",
"1718468353.67","1079",
"1718468353.671","652",
"1718468353.672","2290",
"1718468353.673","1631",
"1718468353.674","2906",
"1718468353.675","2989",
"1718468353.676","3328",
"1718468353.677","1808",
"1718468353.678","2449",
"1718468353.679","768",
"1718468353.68","1145",
